,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
0,RA Jadeja (IND),15,214,49*,53.50,0,25,5/36,20.60,1,4,0,32.90,2013
1,KD Karthik (IND),15,255,69,31.87,0,,,,,,,,
2,V Kohli (IND),15,521,115,52.10,2,0,,,,,,,
3,SK Raina (IND),15,237,65*,29.62,0,2,1/2,57.00,0,12,0,-27.37,2013
4,S Dhawan (IND),14,707,116,54.38,3,,,,,,,,
5,Misbah-ul-Haq (PAK),14,693,96*,69.30,0,,,,,,,,
6,Mohammad Hafeez (PAK),14,517,136*,47.00,2,8,2/34,46.25,0,6,0,0.75,2013
7,Nasir Jamshed (PAK),14,356,54,25.42,0,,,,,,,,
8,KC Sangakkara (SL),14,772,169,77.20,2,,,,,,,,
9,RG Sharma (IND),14,493,65,41.08,0,,,,,,,,
10,JC Buttler (ENG),13,260,75,32.50,0,,,,,,,,
11,LD Chandimal (SL),13,158,43,19.75,0,,,,,,,,
12,DPMD Jayawardene (SL),13,462,107,38.50,1,,,,,,,,
13,SL Malinga (SL),13,26,8,5.20,0,18,4/34,29.66,0,3,0,-24.46,2013
14,Mohammad Irfan (PAK),13,6,4*,3.00,0,16,3/32,28.81,0,3,0,-25.81,2013
15,EJG Morgan (ENG),13,426,124*,42.60,1,,,,,,,,
16,Saeed Ajmal (PAK),13,60,28,12.00,0,21,3/25,24.28,0,1,0,-12.28,2013
17,HDRL Thirimanne (SL),13,247,68,24.70,0,0,,,,,,,
18,DM Bravo (WI),12,294,70,24.50,0,,,,,,,,
19,J Charles (WI),12,382,97,31.83,0,,,,,,,,
20,CH Gayle (WI),12,301,109,25.08,1,0,,,,,,,
21,HMRKB Herath (SL),12,48,13,9.60,0,21,4/20,17.61,0,0,0,-8.01,2013
22,Junaid Khan (PAK),12,6,4,2.00,0,20,4/15,23.35,0,0,0,-21.34,2013
23,AD Mathews (SL),12,258,55*,32.25,0,9,4/29,29.11,0,4,0,3.13,2013
24,JE Root (ENG),12,300,68,25.00,0,3,1/20,71.33,0,6,0,-46.33,2013
25,MN Samuels (WI),12,344,106*,34.40,1,6,1/11,46.16,0,3,0,-11.76,2013
26,RS Bopara (ENG),11,317,101*,52.83,1,10,3/20,35.00,0,2,0,17.83,2013
27,E Chigumbura (ZIM),11,161,50*,26.83,0,4,3/39,47.50,0,1,0,-20.66,2013
28,H Masakadza (ZIM),11,353,85,32.09,0,1,1/9,124.00,0,1,0,-91.90,2013
29,SP Narine (WI),11,68,21,11.33,0,13,4/26,34.23,0,1,0,-22.89,2013
