,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
0,Ahmed Shehzad (PAK),4,215,98*,71.66,0,,,,,,,,
1,RS Bopara (ENG),4,76,45,76.00,0,0,,,,,,,
2,JC Buttler (ENG),4,44,27,14.66,0,,,,,,,,
3,JW Dernbach (ENG),4,,,,,,,,,,,,
4,AD Hales (ENG),4,141,94,47.00,0,,,,,,,,
5,MJ Lumb (ENG),4,96,43,24.00,0,,,,,,,,
6,H Masakadza (ZIM),4,120,59,30.00,0,1,1/4,11.00,0,0,0,19.00,2013
7,T Mishra (KENYA),4,19,13,4.75,0,3,3/25,11.00,0,2,0,-6.24,2013
8,Mohammad Hafeez (PAK),4,80,54*,26.66,0,7,3/30,7.85,0,1,0,18.80,2013
9,CO Obuya (KENYA),4,132,75*,132.00,0,,,,,,,,
10,NN Odhiambo (KENYA),4,11,5,5.50,0,2,2/15,42.00,0,1,0,-36.49,2013
11,MA Ouma (KENYA),4,40,19,10.00,0,,,,,,,,
12,RR Patel (KENYA),4,86,46*,28.66,0,,,,,,,,
13,Shahid Afridi (PAK),4,75,46,37.50,0,4,3/25,25.50,0,3,0,12.00,2013
14,V Sibanda (ZIM),4,86,32,21.50,0,,,,,,,,
15,BRM Taylor (ZIM),4,90,40,30.00,0,,,,,,,,
16,Umar Amin (PAK),4,68,47,22.66,0,,,,,,,,
17,P Utseya (ZIM),4,6,6,6.00,0,5,2/15,19.80,0,0,0,-13.79,2013
18,HA Varaiya (KENYA),4,7,5*,-,,,,,,,,,
19,BV Vitori (ZIM),4,1,1*,-,,,,,,,,,
20,MN Waller (ZIM),4,70,26*,35.00,0,0,,,,,,,
21,SC Williams (ZIM),4,56,25,14.00,0,0,,,,,,,
22,LJ Wright (ENG),4,86,52,28.66,0,2,2/31,29.00,0,1,0,-0.33,2013
23,RG Aga (KENYA),3,10,8,5.00,0,4,3/24,15.50,0,1,0,-10.49,2013
24,DR Briggs (ENG),3,,,,,,,,,,,,
25,LD Chandimal (SL),3,24,14,8.00,0,,,,,,,,
26,H Davids (SA),3,8,7,2.66,0,0,,,,,,,
27,Q de Kock (SA),3,40,19,13.33,0,,,,,,,,
28,AB de Villiers (SA),3,31,15,15.50,0,,,,,,,,
29,JP Duminy (SA),3,132,51*,66.00,0,3,3/18,6.00,0,1,0,60.00,2013
30,F du Plessis (SA),3,105,85,35.00,0,,,,,,,,
31,Imran Tahir (SA),3,,,,,,,,,,,,
32,SW Masakadza (ZIM),3,9,9,9.00,0,2,1/37,55.00,0,1,0,-45.99,2013
33,AD Mathews (SL),3,19,14,6.33,0,1,1/13,59.00,0,1,0,-52.66,2013
34,BAW Mendis (SL),3,0,0*,-,,,,,,,,,
35,DA Miller (SA),3,61,36,30.50,0,,,,,,,,
36,EJG Morgan (ENG),3,27,20,9.00,0,,,,,,,,
37,M Morkel (SA),3,,,,,,,,,,,,
38,Nasir Jamshed (PAK),3,31,23,10.33,0,,,,,,,,
39,SO Ngoche (KENYA),3,2,2,2.00,0,5,4/34,17.40,0,0,0,-15.39,2013
40,AA Obanda (KENYA),3,78,47,26.00,0,,,,,,,,
41,E Otieno (KENYA),3,3,3,3.00,0,0,,,,,,,
42,T Panyangara (ZIM),3,1,1*,-,,,,,,,,,
43,WD Parnell (SA),3,10,10*,-,,,,,,,,,
44,MDKJ Perera (SL),3,33,21,11.00,0,,,,,,,,
45,NLTC Perera (SL),3,47,25*,47.00,0,0,,,,,,,
46,Saeed Ajmal (PAK),3,0,0,0.00,0,2,2/21,37.00,0,1,0,-36.99,2013
47,SMSM Senanayake (SL),3,1,1*,1.00,0,5,3/14,10.40,0,0,0,-9.39,2013
48,Sohail Tanvir (PAK),3,0,0,0.00,0,2,2/20,35.50,0,1,0,-35.49,2013
49,HDRL Thirimanne (SL),3,23,18,11.50,0,,,,,,,,
50,LL Tsotsobe (SA),3,,,,,,,,,,,,
51,D Wiese (SA),3,10,7*,-,,,,,,,,,
