,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
0,JM Anderson (ENG),7,43,16,6.14,0,31,5/47,25.25,3,5,0,-19.11,2013
1,IR Bell (ENG),7,635,113,48.84,3,,,,,,,,
2,SCJ Broad (ENG),7,205,65,22.77,0,34,7/44,23.38,3,2,0,-0.60,2013
3,AN Cook (ENG),7,494,130,35.28,1,,,,,,,,
4,MJ Prior (ENG),7,176,47,17.60,0,,,,,,,,
5,JE Root (ENG),7,582,180,44.76,2,3,2/9,11.66,0,5,0,33.10,2013
6,GP Swann (ENG),7,158,34,22.57,0,36,6/90,25.16,3,6,0,-2.59,2013
7,IJL Trott (ENG),7,492,76,35.14,0,1,1/12,30.00,0,9,0,5.14,2013
8,JM Bairstow (ENG),6,339,67,33.90,0,,,,,,,,
9,MJ Clarke (AUS),5,381,187,47.62,1,0,,,,,,,
10,BJ Haddin (AUS),5,206,71,22.88,0,,,,,,,,
11,KP Pietersen (ENG),5,388,113,38.80,1,,,,,,,,
12,CJL Rogers (AUS),5,367,110,40.77,1,,,,,,,,
13,PM Siddle (AUS),5,84,23,10.50,0,17,5/50,31.58,1,0,0,-21.08,2013
14,SPD Smith (AUS),5,345,138*,38.33,1,4,3/18,26.50,0,3,0,11.83,2013
15,SR Watson (AUS),5,418,176,41.80,1,2,1/21,89.50,0,4,0,-47.69,2013
16,E Chigumbura (ZIM),4,242,86,30.25,0,4,3/75,46.00,0,1,0,-15.74,2013
17,RJ Harris (AUS),4,99,33,19.80,0,24,7/117,19.58,2,2,0,0.21,2013
18,H Masakadza (ZIM),4,289,111*,41.28,1,3,3/24,26.66,0,3,0,14.61,2013
19,R Mutumbami (ZIM),4,131,42,18.71,0,,,,,,,,
20,V Sibanda (ZIM),4,112,32,14.00,0,,,,,,,,
21,MN Waller (ZIM),4,219,70,27.37,0,,,,,,,,
22,TT Bresnan (ENG),3,103,45,25.75,0,10,2/25,29.60,0,0,0,-3.84,2013
23,ST Finn (ENG),3,18,6,4.50,0,10,4/63,27.80,0,2,0,-23.29,2013
24,UT Khawaja (AUS),3,114,54,19.00,0,,,,,,,,
25,NM Lyon (AUS),3,12,8,6.00,0,9,4/42,33.66,0,1,0,-27.66,2013
26,SW Masakadza (ZIM),3,64,24,12.80,0,13,4/32,23.69,0,2,0,-10.89,2013
27,MA Starc (AUS),3,104,66*,26.00,0,11,3/76,32.45,0,1,0,-6.45,2013
28,BRM Taylor (ZIM),3,397,171,79.40,2,,,,,,,,
29,DA Warner (AUS),3,138,71,23.00,0,,,,,,,,
30,Abdur Rehman (PAK),2,32,16,8.00,0,9,4/36,19.88,0,1,0,-11.88,2013
31,Adnan Akmal (PAK),2,108,64,27.00,0,,,,,,,,
32,AC Agar (AUS),2,130,98,32.50,0,2,2/82,124.00,0,0,0,-91.49,2013
33,Asad Shafiq (PAK),2,43,15,10.75,0,,,,,,,,
34,Azhar Ali (PAK),2,85,78,21.25,0,,,,,,,,
35,TA Boult (NZ),2,24,24*,12.00,0,8,5/57,20.37,1,1,0,-8.37,2013
36,DG Brownlie (NZ),2,55,25,13.75,0,,,,,,,,
37,TL Chatara (ZIM),2,35,21,8.75,0,11,5/61,24.45,1,0,0,-15.70,2013
38,NRD Compton (ENG),2,39,16,9.75,0,,,,,,,,
39,AG Cremer (ZIM),2,99,43,33.00,0,7,4/4,26.14,0,1,0,6.85,2013
40,PG Fulton (NZ),2,36,28,9.00,0,,,,,,,,
41,PJ Hughes (AUS),2,83,81*,27.66,0,,,,,,,,
42,Jahurul Islam (BAN),2,91,43,22.75,0,,,,,,,,
43,KM Jarvis (ZIM),2,10,7,5.00,0,9,4/40,33.33,0,1,0,-28.33,2013
44,Junaid Khan (PAK),2,29,17,7.25,0,9,4/67,21.66,0,0,0,-14.41,2013
45,Khurram Manzoor (PAK),2,121,54,30.25,0,,,,,,,,
46,BB McCullum (NZ),2,31,20,7.75,0,,,,,,,,
47,TMK Mawoyo (ZIM),2,73,58,18.25,0,,,,,,,,
48,KO Meth (ZIM),2,72,31*,24.00,0,4,2/41,24.50,0,0,0,-0.49,2013
49,Misbah-ul-Haq (PAK),2,217,79*,72.33,0,,,,,,,,
50,Mohammad Ashraful (BAN),2,86,40,21.50,0,1,1/13,13.00,0,0,0,8.50,2013
51,Mohammad Hafeez (PAK),2,59,22,14.75,0,0,,,,,,,
52,Mushfiqur Rahim (BAN),2,159,93,39.75,0,,,,,,,,
53,Nasir Hossain (BAN),2,174,77,58.00,0,0,,,,,,,
54,T Panyangara (ZIM),2,34,24,11.33,0,9,3/43,22.11,0,0,0,-10.77,2013
55,JL Pattinson (AUS),2,72,35,36.00,0,7,3/69,43.85,0,1,0,-7.85,2013
56,Rahat Ali (PAK),2,37,35*,37.00,0,8,5/52,25.62,1,2,0,11.37,2013
57,Robiul Islam (BAN),2,28,24*,28.00,0,15,6/71,19.53,2,2,0,8.46,2013
