player,matches,inn,no,runs,hs,avg,bf,sr,_100,_50,_0,_4s,_6s,season
KC Sangakkara (SL),14,13,3,772,169,77.20,842,91.68,2,5,2,78,10,2013
S Dhawan (IND),14,14,1,707,116,54.38,756,93.51,3,2,0,77,9,2013
Misbah-ul-Haq (PAK),14,14,4,693,96*,69.30,964,71.88,0,9,1,38,13,2013
V Kohli (IND),15,13,3,521,115,52.10,564,92.37,2,2,0,54,7,2013
Mohammad Hafeez (PAK),14,14,3,517,136*,47.00,595,86.89,2,2,0,47,12,2013
RG Sharma (IND),14,14,2,493,65,41.08,743,66.35,0,5,0,47,5,2013
DPMD Jayawardene (SL),13,13,1,462,107,38.50,567,81.48,1,2,0,44,4,2013
IJL Trott (ENG),11,11,3,440,109*,55.00,503,87.47,1,2,2,34,1,2013
EJG Morgan (ENG),13,13,3,426,124*,42.60,470,90.63,1,2,0,33,9,2013
TM Dilshan (SL),9,9,2,389,115*,55.57,473,82.24,1,1,0,41,1,2013
J Charles (WI),12,12,0,382,97,31.83,482,79.25,0,2,1,41,11,2013
MJ Guptill (NZ),6,6,2,372,189*,93.00,363,102.47,2,0,0,39,7,2013
JP Duminy (SA),10,10,1,358,150*,39.77,418,85.64,1,1,0,24,10,2013
Nasir Jamshed (PAK),14,14,0,356,54,25.42,612,58.16,0,2,1,29,4,2013
H Masakadza (ZIM),11,11,0,353,85,32.09,461,76.57,0,1,0,40,6,2013
MN Samuels (WI),12,12,2,344,106*,34.40,595,57.81,1,0,1,29,8,2013
SC Williams (ZIM),11,11,3,337,78*,42.12,356,94.66,0,3,1,31,4,2013
V Sibanda (ZIM),10,10,1,328,103*,36.44,481,68.19,1,2,1,36,4,2013
RS Bopara (ENG),11,9,3,317,101*,52.83,291,108.93,1,1,0,21,11,2013
EC Joyce (IRE),7,7,2,317,116*,63.40,406,78.07,1,1,0,28,3,2013
WTS Porterfield (IRE),7,7,0,308,112,44.00,427,72.13,1,2,0,38,2,2013
