player,matches,inn,no,runs,hs,avg,bf,sr,_100,_50,_0,_4s,_6s,season
Ahmed Shehzad (PAK),4,4,1,215,98*,71.66,166,129.51,0,2,0,16,9,2013
AJ Finch (AUS),2,2,0,161,156,80.50,68,236.76,1,0,0,12,14,2013
AD Hales (ENG),4,4,1,141,94,47.00,99,142.42,0,1,0,17,3,2013
JP Duminy (SA),3,3,1,132,51*,66.00,109,121.10,0,2,0,9,3,2013
CO Obuya (KENYA),4,4,3,132,75*,132.00,99,133.33,0,1,1,10,4,2013
H Masakadza (ZIM),4,4,0,120,59,30.00,101,118.81,0,1,0,11,2,2013
MR Swart (NED),2,2,0,116,89,58.00,68,170.58,0,1,0,9,7,2013
F du Plessis (SA),3,3,0,105,85,35.00,91,115.38,0,1,0,11,4,2013
Shakib Al Hasan (BAN),2,2,0,105,65,52.50,68,154.41,0,1,0,14,3,2013
KC Sangakkara (SL),2,2,1,98,59*,98.00,88,111.36,0,1,0,13,0,2013
MJ Lumb (ENG),4,4,0,96,43,24.00,55,174.54,0,0,0,12,4,2013
JE Root (ENG),2,2,2,91,90*,-,,,,,,,,
BRM Taylor (ZIM),4,4,1,90,40,30.00,69,130.43,0,0,0,12,1,2013
RR Patel (KENYA),4,4,1,86,46*,28.66,50,172.00,0,0,1,3,8,2013
V Sibanda (ZIM),4,4,0,86,32,21.50,96,89.58,0,0,1,9,1,2013
LJ Wright (ENG),4,4,1,86,52,28.66,54,159.25,0,1,0,10,2,2013
TM Dilshan (SL),2,2,1,83,74*,83.00,70,118.57,0,1,0,9,2,2013
Mohammad Hafeez (PAK),4,4,1,80,54*,26.66,62,129.03,0,1,0,7,2,2013
AA Obanda (KENYA),3,3,0,78,47,26.00,65,120.00,0,0,0,11,2,2013
RS Bopara (ENG),4,3,2,76,45,76.00,49,155.10,0,0,0,6,2,2013
Shahid Afridi (PAK),4,3,1,75,46,37.50,53,141.50,0,0,0,5,3,2013
KA Pollard (WI),2,2,1,72,49*,72.00,46,156.52,0,0,0,6,4,2013
MN Waller (ZIM),4,4,2,70,26*,35.00,45,155.55,0,0,0,7,3,2013
BB McCullum (NZ),2,1,0,68,68,68.00,48,141.66,0,1,0,7,2,2013
Umar Amin (PAK),4,3,0,68,47,22.66,58,117.24,0,0,0,11,0,2013
HD Rutherford (NZ),2,1,0,62,62,62.00,35,177.14,0,1,0,6,4,2013
DA Miller (SA),3,2,0,61,36,30.50,45,135.55,0,0,0,1,3,2013
DJ Bravo (WI),2,2,0,60,35,30.00,79,75.94,0,0,0,4,1,2013
CS MacLeod (SCOT),2,2,1,59,46*,59.00,68,86.76,0,0,0,2,2,2013
SC Williams (ZIM),4,4,0,56,25,14.00,50,112.00,0,0,0,5,1,2013
Shamsur Rahman (BAN),2,2,0,55,53,27.50,51,107.84,0,1,0,7,1,2013
Umar Akmal (PAK),2,2,1,55,46*,55.00,45,122.22,0,0,0,4,1,2013
DA Warner (AUS),2,2,0,54,53,27.00,47,114.89,0,1,0,5,3,2013
RD Berrington (SCOT),2,2,0,49,29,24.50,66,74.24,0,0,0,5,0,2013
NLTC Perera (SL),3,3,2,47,25*,47.00,34,138.23,0,0,1,5,1,2013
Mushfiqur Rahim (BAN),2,2,0,45,28,22.50,26,173.07,0,0,0,3,2,2013
Sikandar Raza (ZIM),2,2,0,45,31,22.50,44,102.27,0,0,0,1,2,2013
Tamim Iqbal (BAN),2,2,0,45,43,22.50,32,140.62,0,0,0,6,1,2013
JC Buttler (ENG),4,3,0,44,27,14.66,28,157.14,0,0,1,2,3,2013
SR Watson (AUS),2,2,0,44,37,22.00,22,200.00,0,0,0,5,2,2013
E Chigumbura (ZIM),2,2,1,41,35*,41.00,24,170.83,0,0,0,3,2,2013
SE Marsh (AUS),2,2,0,41,28,20.50,35,117.14,0,0,0,2,2,2013
SJ Myburgh (NED),1,1,0,41,41,41.00,32,128.12,0,0,0,4,1,2013
Q de Kock (SA),3,3,0,40,19,13.33,49,81.63,0,0,0,7,0,2013
MA Ouma (KENYA),4,4,0,40,19,10.00,54,74.07,0,0,0,4,1,2013
DPMD Jayawardene (SL),2,2,0,39,33,19.50,21,185.71,0,0,0,8,0,2013
TLW Cooper (NED),2,2,0,35,25,17.50,20,175.00,0,0,0,5,1,2013
DI Allan (KENYA),2,2,0,33,18,16.50,43,76.74,0,0,0,1,0,2013
MDKJ Perera (SL),3,3,0,33,21,11.00,40,82.50,0,0,0,5,0,2013
LRPL Taylor (NZ),2,1,1,32,32*,-,,,,,,,,
ADS Fletcher (WI),2,2,0,114,62,57.00,88,129.54,0,2,0,4,7,2014
AD Hales (ENG),2,2,0,106,66,53.00,66,160.60,0,1,0,10,5,2014
EJG Morgan (ENG),2,2,0,76,71,38.00,42,180.95,0,1,0,3,7,2014
V Kohli (IND),1,1,0,66,66,66.00,41,160.97,0,1,0,9,1,2014
BB McCullum (NZ),2,2,0,61,40,30.50,51,119.60,0,0,0,5,2,2014
KS Williamson (NZ),2,2,0,56,37,28.00,46,121.73,0,0,0,7,0,2014
RS Bopara (ENG),2,2,2,49,28*,-,,,,,,,,
NLTC Perera (SL),1,1,0,49,49,49.00,20,245.00,0,0,0,7,2,2014
LRPL Taylor (NZ),2,2,1,49,28*,49.00,43,113.95,0,0,0,3,2,2014
DM Bravo (WI),2,2,0,44,30,22.00,35,125.71,0,0,0,1,3,2014
HDRL Thirimanne (SL),1,1,0,40,40,40.00,32,125.00,0,0,0,3,1,2014
KDK Vithanage (SL),1,1,0,38,38,38.00,26,146.15,0,0,0,7,0,2014
LMP Simmons (WI),3,2,0,37,36,18.50,37,100.00,0,0,0,3,2,2014
JC Buttler (ENG),2,2,0,36,26,18.00,31,116.12,0,0,0,4,0,2014
S Dhawan (IND),1,1,0,33,33,33.00,28,117.85,0,0,0,2,2,2014
JE Root (ENG),2,2,0,31,26,15.50,36,86.11,0,0,0,2,0,2014
CJ Anderson (NZ),2,2,0,29,15,14.50,25,116.00,0,0,0,1,2,2014
KA Pollard (WI),3,2,0,29,16,14.50,28,103.57,0,0,0,2,1,2014
MS Dhoni (IND),1,1,1,27,27*,-,,,,,,,,
SK Raina (IND),1,1,0,25,25,25.00,20,125.00,0,0,0,1,1,2014
