player,matches,inn,no,runs,hs,avg,bf,sr,_100,_50,_0,_4s,_6s,season
IR Bell (ENG),7,14,1,635,113,48.84,1382,45.94,3,2,0,85,1,2013
JE Root (ENG),7,14,1,582,180,44.76,1256,46.33,2,2,0,67,2,2013
AN Cook (ENG),7,14,0,494,130,35.28,1178,41.93,1,3,1,59,0,2013
IJL Trott (ENG),7,14,0,492,76,35.14,1000,49.20,0,4,2,65,0,2013
SR Watson (AUS),5,10,0,418,176,41.80,650,64.30,1,1,0,57,2,2013
BRM Taylor (ZIM),3,6,1,397,171,79.40,828,47.94,2,1,0,26,4,2013
KP Pietersen (ENG),5,10,0,388,113,38.80,717,54.11,1,3,0,53,2,2013
MJ Clarke (AUS),5,10,2,381,187,47.62,660,57.72,1,1,1,44,0,2013
CJL Rogers (AUS),5,9,0,367,110,40.77,819,44.81,1,2,0,50,0,2013
SPD Smith (AUS),5,10,1,345,138*,38.33,676,51.03,1,2,0,36,5,2013
JM Bairstow (ENG),6,11,1,339,67,33.90,747,45.38,0,2,0,40,2,2013
Younis Khan (PAK),2,4,1,309,200*,103.00,683,45.24,1,1,0,30,3,2013
H Masakadza (ZIM),4,8,1,289,111*,41.28,746,38.73,1,1,1,31,7,2013
E Chigumbura (ZIM),4,8,0,242,86,30.25,431,56.14,0,2,0,26,1,2013
MN Waller (ZIM),4,8,0,219,70,27.37,502,43.62,0,2,0,30,0,2013
Misbah-ul-Haq (PAK),2,4,1,217,79*,72.33,552,39.31,0,3,0,24,0,2013
BJ Haddin (AUS),5,10,1,206,71,22.88,417,49.40,0,2,1,24,0,2013
SCJ Broad (ENG),7,10,1,205,65,22.77,338,60.65,0,1,2,32,1,2013
MJ Prior (ENG),7,13,3,176,47,17.60,356,49.43,0,0,3,29,0,2013
Nasir Hossain (BAN),2,4,1,174,77,58.00,297,58.58,0,2,0,17,1,2013
Mushfiqur Rahim (BAN),2,4,0,159,93,39.75,348,45.68,0,2,0,14,1,2013
GP Swann (ENG),7,10,3,158,34,22.57,207,76.32,0,0,0,24,2,2013
Shakib Al Hasan (BAN),2,4,0,149,81,37.25,245,60.81,0,2,0,13,0,2013
LRPL Taylor (NZ),2,4,0,142,70,35.50,207,68.59,0,2,1,23,0,2013
DA Warner (AUS),3,6,0,138,71,23.00,226,61.06,0,1,0,19,1,2013
R Mutumbami (ZIM),4,8,1,131,42,18.71,266,49.24,0,0,1,18,1,2013
AC Agar (AUS),2,4,0,130,98,32.50,206,63.10,0,1,0,18,2,2013
Khurram Manzoor (PAK),2,4,0,121,54,30.25,254,47.63,0,2,0,22,0,2013
UT Khawaja (AUS),3,6,0,114,54,19.00,266,42.85,0,1,1,13,0,2013
V Sibanda (ZIM),4,8,0,112,32,14.00,289,38.75,0,0,0,16,1,2013
Adnan Akmal (PAK),2,4,0,108,64,27.00,265,40.75,0,1,0,12,0,2013
MA Starc (AUS),3,6,2,104,66*,26.00,113,92.03,0,1,1,13,0,2013
TT Bresnan (ENG),3,5,1,103,45,25.75,320,32.18,0,0,0,12,0,2013
AG Cremer (ZIM),2,4,1,99,43,33.00,296,33.44,0,0,0,7,0,2013
RJ Harris (AUS),4,7,2,99,33,19.80,148,66.89,0,0,0,9,2,2013
Jahurul Islam (BAN),2,4,0,91,43,22.75,218,41.74,0,0,0,12,0,2013
Mohammad Ashraful (BAN),2,4,0,86,40,21.50,221,38.91,0,0,0,10,0,2013
Azhar Ali (PAK),2,4,0,85,78,21.25,232,36.63,0,1,2,10,0,2013
PM Siddle (AUS),5,8,0,84,23,10.50,215,39.06,0,0,0,7,0,2013
Sikandar Raza (ZIM),1,2,0,84,60,42.00,172,48.83,0,1,0,12,0,2013
PJ Hughes (AUS),2,4,1,83,81*,27.66,168,49.40,0,1,1,9,0,2013
HD Rutherford (NZ),2,4,0,82,42,20.50,107,76.63,0,0,0,13,0,2013
KS Williamson (NZ),2,4,0,82,60,20.50,264,31.06,0,1,0,7,0,2013
TG Southee (NZ),2,4,0,76,38,19.00,79,96.20,0,0,0,10,2,2013
TMK Mawoyo (ZIM),2,4,0,73,58,18.25,218,33.48,0,1,1,9,0,2013
KO Meth (ZIM),2,4,1,72,31*,24.00,129,55.81,0,0,0,7,2,2013
JL Pattinson (AUS),2,4,2,72,35,36.00,180,40.00,0,0,0,6,1,2013
SW Masakadza (ZIM),3,5,0,64,24,12.80,184,34.78,0,0,1,6,0,2013
Mohammad Hafeez (PAK),2,4,0,59,22,14.75,99,59.59,0,0,0,11,0,2013
Saeed Ajmal (PAK),2,4,0,59,49,14.75,105,56.19,0,0,0,7,1,2013
KC Sangakkara (SL),6,12,0,837,221,69.75,1568,53.38,2,6,1,92,1,2014
JE Root (ENG),7,11,3,777,200*,97.12,1339,58.02,3,3,0,80,1,2014
