player,matches,inn,overs,maiden,runs,wkts,bb_inn,avg,econ,sr,_4w,_5w,season
JW Dernbach (ENG),4,3,12.0,0,88,7,3/23,12.57,7.33,10.2,0,0,2013
Mohammad Hafeez (PAK),4,4,12.0,1,55,7,3/30,7.85,4.58,10.2,0,0,2013
Zulfiqar Babar (PAK),3,3,12.0,1,81,7,3/23,11.57,6.75,10.2,0,0,2013
Shakib Al Hasan (BAN),2,2,8.0,0,41,6,4/21,6.83,5.12,8.0,1,0,2013
SO Ngoche (KENYA),3,3,11.0,0,87,5,4/34,17.40,7.90,13.2,1,0,2013
SMSM Senanayake (SL),3,3,12.0,0,52,5,3/14,10.40,4.33,14.4,0,0,2013
P Utseya (ZIM),4,4,16.0,0,99,5,2/15,19.80,6.18,19.2,0,0,2013
RG Aga (KENYA),3,3,10.1,0,62,4,3/24,15.50,6.09,15.2,0,0,2013
M Morkel (SA),3,3,11.1,0,95,4,2/28,23.75,8.50,16.7,0,0,2013
SP Narine (WI),2,2,8.0,0,50,4,3/26,12.50,6.25,12.0,0,0,2013
T Panyangara (ZIM),3,3,12.0,0,103,4,3/32,25.75,8.58,18.0,0,0,2013
WD Parnell (SA),3,3,10.0,1,70,4,2/8,17.50,7.00,15.0,0,0,2013
Shahid Afridi (PAK),4,4,14.0,0,102,4,3/25,25.50,7.28,21.0,0,0,2013
HA Varaiya (KENYA),4,4,15.0,0,63,4,2/10,15.75,4.20,22.5,0,0,2013
S Badree (WI),2,2,7.0,0,43,3,2/16,14.33,6.14,14.0,0,0,2013
DR Briggs (ENG),3,2,7.0,0,76,3,2/25,25.33,10.85,14.0,0,0,2013
Mudassar Bukhari (NED),2,2,8.0,1,52,3,2/24,17.33,6.50,16.0,0,0,2013
CG Burnett (SCOT),1,1,4.0,0,18,3,3/18,6.00,4.50,8.0,0,0,2013
GD Drummond (SCOT),2,2,7.0,0,27,3,2/14,9.00,3.85,14.0,0,0,2013
JP Duminy (SA),3,1,4.0,0,18,3,3/18,6.00,4.50,8.0,0,0,2013
