player,matches,inn,overs,maiden,runs,wkts,bb_inn,bb_match,avg,econ,sr,_4w,_5w,season
GP Swann (ENG),7,13,298.0,54,906,36,6/90,10/132,25.16,3.04,49.6,3,1,2013
SCJ Broad (ENG),7,14,243.5,47,795,34,7/44,11/121,23.38,3.26,43.0,3,1,2013
JM Anderson (ENG),7,14,260.2,65,783,31,5/47,10/158,25.25,3.00,50.3,3,1,2013
RJ Harris (AUS),4,8,162.1,37,470,24,7/117,9/187,19.58,2.89,40.5,2,0,2013
PM Siddle (AUS),5,10,189.5,52,537,17,5/50,8/135,31.58,2.82,67.0,1,0,2013
Robiul Islam (BAN),2,4,110.0,28,293,15,6/71,9/155,19.53,2.66,44.0,2,0,2013
Saeed Ajmal (PAK),2,4,98.1,22,266,14,7/95,11/118,19.00,2.70,42.0,1,1,2013
SW Masakadza (ZIM),3,6,121.1,27,308,13,4/32,5/58,23.69,2.54,55.9,0,0,2013
TG Southee (NZ),2,4,88.2,22,235,12,6/50,10/108,19.58,2.66,44.1,1,1,2013
TL Chatara (ZIM),2,4,105.1,25,269,11,5/61,6/106,24.45,2.55,57.3,1,0,2013
MA Starc (AUS),3,6,120.0,24,357,11,3/76,5/135,32.45,2.97,65.4,0,0,2013
TT Bresnan (ENG),3,6,91.0,20,296,10,2/25,4/58,29.60,3.25,54.6,0,0,2013
ST Finn (ENG),3,5,71.0,14,278,10,4/63,4/63,27.80,3.91,42.6,0,0,2013
Abdur Rehman (PAK),2,4,79.5,21,179,9,4/36,5/87,19.88,2.24,53.2,0,0,2013
KM Jarvis (ZIM),2,4,80.0,16,300,9,4/40,7/115,33.33,3.75,53.3,0,0,2013
Junaid Khan (PAK),2,4,87.0,28,195,9,4/67,5/104,21.66,2.24,58.0,0,0,2013
NM Lyon (AUS),3,6,118.1,30,303,9,4/42,7/97,33.66,2.56,78.7,0,0,2013
T Panyangara (ZIM),2,4,88.0,28,199,9,3/43,5/113,22.11,2.26,58.6,0,0,2013
TA Boult (NZ),2,4,66.0,18,163,8,5/57,5/59,20.37,2.46,49.5,1,0,2013
Rahat Ali (PAK),2,4,73.5,16,205,8,5/52,7/100,25.62,2.77,55.3,1,0,2013
AG Cremer (ZIM),2,4,48.2,6,183,7,4/4,4/4,26.14,3.78,41.4,0,0,2013
JL Pattinson (AUS),2,4,91.1,21,307,7,3/69,5/170,43.85,3.36,78.1,0,0,2013
Sohag Gazi (BAN),2,4,81.3,13,194,7,4/59,5/115,27.71,2.38,69.8,0,0,2013
P Utseya (ZIM),2,4,91.3,8,295,7,3/137,5/192,42.14,3.22,78.4,0,0,2013
N Wagner (NZ),2,4,81.0,17,254,7,3/70,4/114,36.28,3.13,69.4,0,0,2013
JP Faulkner (AUS),1,2,27.4,4,98,6,4/51,6/98,16.33,3.54,27.6,0,0,2013
BV Vitori (ZIM),1,2,48.5,13,130,6,5/61,6/130,21.66,2.66,48.8,1,0,2013
KS Williamson (NZ),2,4,44.3,7,145,6,3/68,4/117,24.16,3.25,44.5,0,0,2013
E Chigumbura (ZIM),4,6,53.2,9,184,4,3/75,3/129,46.00,3.45,80.0,0,0,2013
KO Meth (ZIM),2,3,54.0,18,98,4,2/41,2/41,24.50,1.81,81.0,0,0,2013
Shakib Al Hasan (BAN),2,4,46.3,9,154,4,3/52,4/118,38.50,3.31,69.7,0,0,2013
SPD Smith (AUS),5,5,31.0,4,106,4,3/18,4/83,26.50,3.41,46.5,0,0,2013
Ziaur Rahman (BAN),1,2,30.0,11,71,4,4/63,4/71,17.75,2.36,45.0,0,0,2013
Enamul Haque jnr (BAN),1,2,60.0,7,178,3,3/133,3/178,59.33,2.96,120.0,0,0,2013
H Masakadza (ZIM),4,5,40.0,11,80,3,3/24,3/24,26.66,2.00,80.0,0,0,2013
JE Root (ENG),7,5,19.0,7,35,3,2/9,2/9,11.66,1.84,38.0,0,0,2013
