player,matches,inn,overs,maiden,runs,wkts,bb_inn,avg,econ,sr,_4w,_5w,season
RA Jadeja (IND),15,15,128.5,15,515,25,5/36,20.60,3.99,30.9,1,1,2013
HMRKB Herath (SL),12,12,95.5,4,370,21,4/20,17.61,3.86,27.3,1,0,2013
Saeed Ajmal (PAK),13,13,112.4,5,510,21,3/25,24.28,4.52,32.1,0,0,2013
Junaid Khan (PAK),12,12,93.4,10,467,20,4/15,23.35,4.98,28.1,1,0,2013
MJ McClenaghan (NZ),6,6,52.0,1,282,19,4/43,14.84,5.42,16.4,2,0,2013
SL Malinga (SL),13,13,98.5,9,534,18,4/34,29.66,5.40,32.9,1,0,2013
A Mishra (IND),5,5,47.3,2,209,18,6/48,11.61,4.40,15.8,1,1,2013
I Sharma (IND),10,10,75.0,4,429,18,3/33,23.83,5.72,25.0,0,0,2013
JM Anderson (ENG),7,7,56.0,1,247,16,3/30,15.43,4.41,21.0,0,0,2013
B Kumar (IND),9,9,64.0,11,234,16,4/8,14.62,3.65,24.0,1,0,2013
Mohammad Irfan (PAK),13,13,107.2,8,461,16,3/32,28.81,4.29,40.2,0,0,2013
KAJ Roach (WI),10,10,83.0,17,373,15,4/27,24.86,4.49,33.2,1,0,2013
R Ashwin (IND),10,10,80.0,4,379,14,3/48,27.07,4.73,34.2,0,0,2013
TL Chatara (ZIM),10,10,90.3,9,411,14,3/48,29.35,4.54,38.7,0,0,2013
JC Tredwell (ENG),10,9,64.2,2,359,14,3/19,25.64,5.58,27.5,0,0,2013
DJ Bravo (WI),10,10,63.2,3,403,13,2/9,31.00,6.36,29.2,0,0,2013
CJ McKay (AUS),8,8,66.2,8,280,13,4/39,21.53,4.22,30.6,1,0,2013
SP Narine (WI),11,11,91.0,3,445,13,4/26,34.23,4.89,42.0,2,0,2013
KJ O'Brien (IRE),7,7,48.0,0,237,13,4/13,18.23,4.93,22.1,1,0,2013
MG Johnson (AUS),8,8,66.2,6,287,12,4/36,23.91,4.32,33.1,1,0,2013
R McLaren (SA),9,9,71.3,4,376,12,4/19,31.33,5.25,35.7,1,0,2013
I Wardlaw (SCOT),6,6,58.3,1,301,12,4/43,25.08,5.14,29.2,1,0,2013
RMS Eranga (SL),8,8,58.4,3,336,11,3/46,30.54,5.72,32.0,0,0,2013
BAW Mendis (SL),4,4,38.4,2,175,11,4/51,15.90,4.52,21.0,1,0,2013
Shahid Afridi (PAK),8,8,54.0,4,247,11,7/12,22.45,4.57,29.4,0,1,2013
UT Yadav (IND),9,9,66.0,5,365,11,3/32,33.18,5.53,36.0,0,0,2013
RS Bopara (ENG),11,10,67.0,1,350,10,3/20,35.00,5.22,40.2,0,0,2013
JP Faulkner (AUS),8,8,56.0,2,270,10,3/38,27.00,4.82,33.6,0,0,2013
JO Holder (WI),6,6,49.5,6,221,10,4/13,22.10,4.43,29.9,1,0,2013
LL Tsotsobe (SA),8,8,63.0,5,324,10,4/22,32.40,5.14,37.8,1,0,2013
AD Mathews (SL),12,11,65.0,7,262,9,4/29,29.11,4.03,43.3,1,0,2013
WB Rankin (ENG),5,4,38.1,3,152,9,4/46,16.88,3.98,25.4,1,0,2013
BV Vitori (ZIM),7,7,55.5,2,295,9,2/27,32.77,5.28,37.2,0,0,2013
Abdur Rehman (PAK),3,3,27.4,1,107,8,4/48,13.37,3.86,20.7,1,0,2013
SCJ Broad (ENG),6,6,44.5,2,259,8,3/50,32.37,5.77,33.6,0,0,2013
Mudassar Bukhari (NED),5,5,38.0,6,210,8,3/41,26.25,5.52,28.5,0,0,2013
TM Dilshan (SL),9,8,54.0,1,203,8,2/11,25.37,3.75,40.5,0,0,2013
RM Haq (SCOT),6,6,57.0,4,226,8,3/26,28.25,3.96,42.7,0,0,2013
NL McCullum (NZ),6,6,48.0,0,215,8,2/23,26.87,4.47,36.0,0,0,2013
KD Mills (NZ),6,6,44.3,2,209,8,4/30,26.12,4.69,33.3,1,0,2013
Mohammad Hafeez (PAK),14,14,103.1,4,370,8,2/34,46.25,3.58,77.3,0,0,2013
JD Unadkat (IND),5,5,40.0,5,139,8,4/41,17.37,3.47,30.0,1,0,2013
P Utseya (ZIM),10,10,96.0,3,474,8,2/34,59.25,4.93,72.0,0,0,2013
TL Best (WI),5,5,41.0,2,228,7,3/48,32.57,5.56,35.1,0,0,2013
GH Dockrell (IRE),7,7,66.0,4,277,7,4/24,39.57,4.19,56.5,1,0,2013
ST Finn (ENG),6,5,47.3,3,257,7,2/43,36.71,5.41,40.7,0,0,2013
KM Jarvis (ZIM),5,5,46.0,3,243,7,2/18,34.71,5.28,39.4,0,0,2013
M Morkel (SA),6,6,54.5,4,264,7,3/34,37.71,4.81,47.0,0,0,2013
TJ Murtagh (IRE),6,6,49.0,5,232,7,3/33,33.14,4.73,42.0,0,0,2013
NLTC Perera (SL),7,7,35.0,1,173,7,3/31,24.71,4.94,30.0,0,0,2013
R McLaren (SA),9,9,70.0,0,358,20,4/48,17.90,5.11,21.0,1,0,2014
Imran Tahir (SA),9,9,84.1,3,349,16,3/44,21.81,4.14,31.5,0,0,2014
JC Tredwell (ENG),9,9,68.0,5,330,16,4/41,20.62,4.85,25.5,1,0,2014
SL Malinga (SL),11,11,80.0,6,497,15,4/24,33.13,6.21,32.0,1,0,2014
BAW Mendis (SL),6,6,52.1,3,264,14,3/27,18.85,5.06,22.3,0,0,2014
Al-Amin Hossain (BAN),6,6,44.4,4,251,13,4/51,19.30,5.61,20.6,2,0,2014
CJ Jordan (ENG),7,7,56.0,0,329,13,5/29,25.30,5.87,25.8,0,1,2014
SMSM Senanayake (SL),9,9,71.0,3,314,13,4/13,24.15,4.42,32.7,1,0,2014
JM Anderson (ENG),10,10,79.0,8,348,12,2/10,29.00,4.40,39.5,0,0,2014
DW Steyn (SA),8,8,62.2,4,324,12,4/34,27.00,5.19,31.1,1,0,2014
M Morkel (SA),7,7,61.0,2,359,11,2/39,32.63,5.88,33.2,0,0,2014
WD Parnell (SA),7,7,54.0,3,287,11,3/28,26.09,5.31,29.4,0,0,2014
P Utseya (ZIM),9,9,82.0,5,355,11,5/36,32.27,4.32,44.7,0,1,2014
HF Gurney (ENG),7,7,51.3,4,274,10,4/55,27.40,5.32,30.9,1,0,2014
J Nyumbu (ZIM),7,7,59.2,3,318,10,3/42,31.80,5.35,35.6,0,0,2014
AM Phangiso (SA),7,7,61.5,3,236,10,3/43,23.60,3.81,37.1,0,0,2014
SC Williams (ZIM),11,11,94.4,9,391,10,2/21,39.10,4.13,56.8,0,0,2014
Dawlat Zadran (AFG),6,6,41.3,2,248,9,3/36,27.55,5.97,27.6,0,0,2014
Mashrafe Mortaza (BAN),6,6,50.0,5,215,9,3/39,23.88,4.30,33.3,0,0,2014
NLTC Perera (SL),4,4,21.0,1,121,9,4/34,13.44,5.76,14.0,1,0,2014
DT Tiripano (ZIM),4,4,31.1,4,188,9,5/63,20.88,6.03,20.7,0,1,2014
CA Young (IRE),3,3,29.4,2,135,9,5/46,15.00,4.55,19.7,0,1,2014
JP Duminy (SA),11,9,53.3,0,297,8,3/35,37.12,5.55,40.1,0,0,2014
Mohammed Shami (IND),4,4,32.3,1,152,8,3/28,19.00,4.67,24.3,0,0,2014
Wahab Riaz (PAK),3,3,25.0,1,157,8,4/65,19.62,6.28,18.7,1,0,2014
R Ashwin (IND),4,4,39.1,2,174,7,3/39,24.85,4.44,33.5,0,0,2014
TL Chatara (ZIM),6,6,45.5,2,263,7,2/28,37.57,5.73,39.2,0,0,2014
JH Davey (SCOT),4,4,32.2,3,137,7,3/28,19.57,4.23,27.7,0,0,2014
RA Jadeja (IND),4,4,36.0,0,172,7,4/28,24.57,4.77,30.8,1,0,2014
KMDN Kulasekara (SL),10,10,63.5,8,366,7,3/15,52.28,5.73,54.7,0,0,2014
NM Lyon (AUS),4,4,37.0,3,180,7,4/44,25.71,4.86,31.7,1,0,2014
AD Mathews (SL),12,11,54.0,3,251,7,2/48,35.85,4.64,46.2,0,0,2014
R Rampaul (WI),3,3,25.4,4,98,7,4/29,14.00,3.81,22.0,1,0,2014
Taskin Ahmed (BAN),3,3,23.0,1,89,7,5/28,12.71,3.86,19.7,0,1,2014
STR Binny (IND),2,1,4.4,2,4,6,6/4,0.66,0.85,4.6,0,1,2014
HMRKB Herath (SL),5,5,34.2,2,170,6,2/38,28.33,4.95,34.3,0,0,2014
Mohammad Nabi (AFG),6,6,51.0,1,207,6,2/35,34.50,4.05,51.0,0,0,2014
Shakib Al Hasan (BAN),3,3,15.5,0,62,6,3/27,10.33,3.91,15.8,0,0,2014
MC Sorensen (IRE),4,4,32.3,3,140,6,4/40,23.33,4.30,32.5,1,0,2014
MA Starc (AUS),5,5,36.0,5,200,6,2/23,33.33,5.55,36.0,0,0,2014
DJ Bravo (WI),3,2,12.0,1,64,5,4/32,12.80,5.33,14.4,1,0,2014
RM Haq (SCOT),4,4,29.0,0,163,5,5/54,32.60,5.62,34.8,0,1,2014
B Kumar (IND),4,4,31.0,3,134,5,2/14,26.80,4.32,37.2,0,0,2014
T Panyangara (ZIM),5,5,40.0,4,261,5,2/58,52.20,6.52,48.0,0,0,2014
Rahmat Shah (AFG),3,3,10.3,0,75,5,5/32,15.00,7.14,12.6,0,1,2014
