,player,country,matches,runs,highest_score,batting_avg,100s,wickets,best_bowling_innings,bowling_avg,5wicket_haul,catches_taken,stumping_made,avg_diff,year,allrounder_score
0,RA Jadeja ,IND,15,214,49*,53.5,0,25,5/36,20.6,1,4,0,32.9,2013,22.720000000000002
1,SK Raina ,IND,15,237,65*,29.62,0,2,1/2,57.0,0,12,0,-27.37,2013,-4.6519999999999975
2,Mohammad Hafeez ,PAK,14,517,136*,47.0,2,8,2/34,46.25,0,6,0,0.75,2013,7.324999999999999
3,SL Malinga ,SL,13,26,8,5.2,0,18,4/34,29.66,0,3,0,-24.46,2013,-1.4180000000000001
4,Mohammad Irfan ,PAK,13,6,4*,3.0,0,16,3/32,28.81,0,3,0,-25.81,2013,-2.642999999999999
5,Saeed Ajmal ,PAK,13,60,28,12.0,0,21,3/25,24.28,0,1,0,-12.28,2013,3.8160000000000016
6,HMRKB Herath ,SL,12,48,13,9.6,0,21,4/20,17.61,0,0,0,-8.01,2013,4.857000000000001
7,Junaid Khan ,PAK,12,6,4,2.0,0,20,4/15,23.35,0,0,0,-21.34,2013,-0.20500000000000007
8,AD Mathews ,SL,12,258,55*,32.25,0,9,4/29,29.11,0,4,0,3.13,2013,6.867000000000001
9,JE Root ,ENG,12,300,68,25.0,0,3,1/20,71.33,0,6,0,-46.33,2013,-10.498999999999997
10,MN Samuels ,WI,12,344,106*,34.4,1,6,1/11,46.16,0,3,0,-11.76,2013,1.7119999999999997
11,RS Bopara ,ENG,11,317,101*,52.83,1,10,3/20,35.0,0,2,0,17.83,2013,13.632000000000001
12,E Chigumbura ,ZIM,11,161,50*,26.83,0,4,3/39,47.5,0,1,0,-20.66,2013,-2.3180000000000014
13,H Masakadza ,ZIM,11,353,85,32.09,0,1,1/9,124.0,0,1,0,-91.9,2013,-24.063999999999993
14,SP Narine ,WI,11,68,21,11.33,0,13,4/26,34.23,0,1,0,-22.89,2013,-1.836999999999998
15,DJG Sammy ,WI,11,170,56*,28.33,0,5,2/41,64.8,0,7,0,-36.46,2013,-6.607999999999997
16,MN Waller ,ZIM,11,193,48,24.12,0,1,1/18,54.0,0,3,0,-29.87,2013,-6.251999999999997
17,SC Williams ,ZIM,11,337,78*,42.12,0,2,1/29,88.5,0,1,0,-46.37,2013,-9.102
18,R Ashwin ,IND,10,45,25*,11.25,0,14,3/48,27.07,0,9,0,-15.82,2013,0.5789999999999988
19,DJ Bravo ,WI,10,184,48,26.28,0,13,2/9,31.0,0,7,0,-4.71,2013,5.112000000000002
20,TL Chatara ,ZIM,10,27,23,9.0,0,14,3/48,29.35,0,1,0,-20.35,2013,-1.004999999999999
21,JP Duminy ,SA,10,358,150*,39.77,1,6,1/9,51.5,0,5,0,-11.72,2013,2.2580000000000027
22,KA Pollard ,WI,10,117,30,11.7,0,5,1/21,39.0,0,4,0,-27.29,2013,-5.52
23,KAJ Roach ,WI,10,68,34,22.66,0,15,4/27,24.86,0,4,0,-2.19,2013,6.106000000000001
24,I Sharma ,IND,10,4,2*,4.0,0,18,3/33,23.83,0,3,0,-19.83,2013,-0.14899999999999913
25,JC Tredwell ,ENG,10,12,5*,6.0,0,14,3/19,25.64,0,3,0,-19.64,2013,-1.0919999999999996
26,P Utseya ,ZIM,10,97,52*,19.4,0,8,2/34,59.25,0,4,0,-39.84,2013,-7.614999999999998
27,TM Dilshan ,SL,9,389,115*,55.57,1,8,2/11,25.37,0,3,0,30.19,2013,17.017
28,B Kumar ,IND,9,12,11*,12.0,0,16,4/8,14.62,0,5,0,-2.62,2013,5.214000000000002
29,R McLaren ,SA,9,144,71*,36.0,0,12,4/19,31.33,0,1,0,4.66,2013,8.601
30,RJ Peterson ,SA,9,162,68,27.0,0,7,4/67,49.28,0,3,0,-22.28,2013,-1.8839999999999986
31,UT Yadav ,IND,9,0,0,0.0,0,11,3/32,33.18,0,1,0,-33.18,2013,-6.653999999999999
32,RMS Eranga ,SL,8,14,7*,14.0,0,11,3/46,30.54,0,3,0,-16.54,2013,-0.2619999999999987
33,JP Faulkner ,AUS,8,106,54*,21.2,0,10,3/38,27.0,0,1,0,-5.79,2013,3.380000000000001
34,MG Johnson ,AUS,8,32,8,6.4,0,12,4/36,23.91,0,1,0,-17.51,2013,-1.013
35,CJ McKay ,AUS,8,46,30,15.33,0,13,4/39,21.53,0,3,0,-6.2,2013,3.5729999999999995
36,Shahid Afridi ,PAK,8,159,76,26.5,0,11,7/12,22.45,1,2,0,4.04,2013,7.165000000000003
37,LL Tsotsobe ,SA,8,7,3*,2.33,0,10,4/22,32.4,0,2,0,-30.06,2013,-5.7879999999999985
38,AC Voges ,AUS,8,189,71,37.8,0,4,1/3,24.0,0,4,0,13.8,2013,9.120000000000001
39,Wahab Riaz ,PAK,8,95,47*,19.0,0,6,2/42,51.16,0,2,0,-32.16,2013,-5.947999999999999
40,SR Watson ,AUS,8,258,143,36.85,1,4,1/17,40.75,0,5,0,-3.89,2013,3.7150000000000016
41,JM Anderson ,ENG,7,33,28,33.0,0,16,3/30,15.43,0,2,0,17.56,2013,13.371
42,TT Bresnan ,ENG,7,54,25,10.8,0,6,2/27,53.16,0,1,0,-42.36,2013,-9.828
43,KJ O'Brien ,IRE,7,184,84*,36.8,0,13,4/13,18.23,0,5,0,18.56,2013,13.150999999999996
44,NLTC Perera ,SL,7,124,65,31.0,0,7,3/31,24.71,0,1,0,6.28,2013,7.087
45,PR Stirling ,IRE,7,206,103,29.42,1,5,2/28,35.4,0,1,0,-5.97,2013,2.6480000000000015
46,BV Vitori ,ZIM,7,29,17,5.8,0,9,2/27,32.77,0,1,0,-26.97,2013,-4.811000000000002
47,SCJ Broad ,ENG,6,14,7*,14.0,0,8,3/50,32.37,0,1,0,-18.37,2013,-1.7109999999999985
48,ST Finn ,ENG,6,16,16,16.0,0,7,2/43,36.71,0,0,0,-20.71,2013,-2.513
49,RM Haq ,SCOT,6,25,25,6.25,0,8,3/26,28.25,0,0,0,-21.99,2013,-3.5749999999999993
50,JO Holder ,WI,6,19,19*,9.5,0,10,4/13,22.1,0,2,0,-12.59,2013,0.17000000000000082
51,DT Johnston ,IRE,6,75,24,25.0,0,3,2/35,78.33,0,2,0,-53.33,2013,-12.598999999999998
52,KMDN Kulasekara ,SL,6,81,58*,20.25,0,6,3/42,35.5,0,1,0,-15.24,2013,-0.7500000000000018
53,MJ McClenaghan ,NZ,6,5,4,5.0,0,19,4/43,14.84,0,3,0,-9.84,2013,3.248
54,NL McCullum ,NZ,6,73,32,24.33,0,8,2/23,26.87,0,6,0,-2.54,2013,4.071
55,MW Machan ,SCOT,6,234,114,39.0,1,6,3/31,28.66,0,1,0,10.33,2013,8.802000000000003
56,KD Mills ,NZ,6,36,28*,36.0,0,8,4/30,26.12,0,2,0,9.87,2013,8.964
57,Mohammed Shami ,IND,6,6,6*,6.0,0,6,2/25,41.83,0,2,0,-35.83,2013,-8.349
58,M Morkel ,SA,6,8,8,2.0,0,7,3/34,37.71,0,0,0,-35.71,2013,-8.413
59,TJ Murtagh ,IRE,6,33,23*,16.5,0,7,3/33,33.14,0,1,0,-16.64,2013,-1.241999999999999
60,I Wardlaw ,SCOT,6,11,7*,11.0,0,12,4/43,25.08,0,0,0,-14.08,2013,0.47600000000000087
61,KS Williamson ,NZ,6,175,67,35.0,0,5,2/25,39.4,0,2,0,-4.39,2013,3.6800000000000015
62,Mudassar Bukhari ,NED,5,47,22,11.75,0,8,3/41,26.25,0,0,0,-14.49,2013,-0.7750000000000004
63,KM Jarvis ,ZIM,5,14,12*,14.0,0,7,2/18,34.71,0,2,0,-20.71,2013,-2.712999999999999
64,CS MacLeod ,SCOT,5,97,39,19.4,0,4,2/26,24.25,0,1,0,-4.84,2013,1.6849999999999996
65,A Mishra ,IND,5,9,9,9.0,0,18,6/48,11.61,1,1,0,-2.61,2013,5.517
66,CH Morris ,SA,5,13,9*,6.5,0,6,2/25,35.16,0,0,0,-28.66,2013,-6.147999999999998
67,WB Rankin ,ENG,5,5,4,5.0,0,9,4/46,16.88,0,0,0,-11.88,2013,-0.3639999999999999
68,Shoaib Malik ,PAK,5,69,43,17.25,0,1,1/27,76.0,0,1,0,-58.74,2013,-15.600000000000001
69,BA Stokes ,ENG,5,57,27,19.0,0,6,5/61,36.66,1,1,0,-17.66,2013,-1.597999999999999
70,Asad Ali ,PAK,4,13,11,6.5,0,2,1/22,57.5,0,0,0,-50.99,2013,-14.05
71,F Behardien ,SA,4,3,2,1.0,0,5,3/19,19.2,0,0,0,-18.19,2013,-3.86
72,AR Cusack ,IRE,4,0,0,0.0,0,6,2/48,25.16,0,1,0,-25.16,2013,-5.748
73,RK Kleinveldt ,SA,4,55,43,18.33,0,2,1/10,86.0,0,1,0,-67.66,2013,-17.868000000000002
74,BAW Mendis ,SL,4,2,2,1.0,0,11,4/51,15.9,0,0,0,-14.9,2013,-1.0699999999999998
75,BMAJ Mendis ,SL,4,51,25,12.75,0,1,1/28,47.0,0,1,0,-34.24,2013,-8.7
76,T Panyangara ,ZIM,4,4,3*,2.0,0,1,1/49,220.0,0,0,0,-217.99,2013,-64.9
77,AM Phangiso ,SA,4,18,18*,9.0,0,4,1/48,50.0,0,0,0,-40.99,2013,-10.2
78,R Rampaul ,WI,4,2,2,2.0,0,5,3/38,28.4,0,2,0,-26.39,2013,-6.22
79,TG Southee ,NZ,4,28,15,28.0,0,3,3/37,51.0,0,0,0,-22.99,2013,-3.1999999999999975
80,MR Swart ,NED,4,28,20,7.0,0,2,1/31,43.5,0,1,0,-36.49,2013,-9.649999999999999
81,RML Taylor ,SCOT,4,40,16,13.33,0,6,3/39,30.33,0,2,0,-16.99,2013,-1.9669999999999979
82,R Vinay Kumar ,IND,4,32,27*,32.0,0,2,1/32,76.5,0,2,0,-44.49,2013,-9.549999999999999
83,Abdur Razzak ,BAN,3,73,53*,73.0,0,1,1/10,98.0,0,0,0,-24.99,2013,0.10000000000000497
84,Abdur Rehman ,PAK,3,7,7,7.0,0,8,4/48,13.37,0,2,0,-6.37,2013,1.189000000000001
85,NM Carter ,SCOT,3,0,0,0.0,0,5,3/27,26.4,0,0,0,-26.39,2013,-6.419999999999999
86,TLW Cooper ,NED,3,60,38,20.0,0,1,1/43,106.0,0,2,0,-85.99,2013,-23.499999999999996
