,player,country,matches,runs,highest_score,batting_avg,100s,wickets,best_bowling_innings,bowling_avg,5wicket_haul,catches_taken,stumping_made,avg_diff,year,allrounder_score
0,H Masakadza ,ZIM,4,120,59,30.0,0,1,1/4,11.0,0,0,0,19.0,2013,6.1000000000000005
1,T Mishra ,KENYA,4,19,13,4.75,0,3,3/25,11.0,0,2,0,-6.24,2013,-0.6749999999999998
2,Mohammad Hafeez ,PAK,4,80,54*,26.66,0,7,3/30,7.85,0,1,0,18.8,2013,8.443
3,NN Odhiambo ,KENYA,4,11,5,5.5,0,2,2/15,42.0,0,1,0,-36.49,2013,-10.149999999999999
4,Shahid Afridi ,PAK,4,75,46,37.5,0,4,3/25,25.5,0,3,0,12.0,2013,5.2
5,P Utseya ,ZIM,4,6,6,6.0,0,5,2/15,19.8,0,0,0,-13.79,2013,-2.1400000000000006
6,LJ Wright ,ENG,4,86,52,28.66,0,2,2/31,29.0,0,1,0,-0.33,2013,0.6980000000000004
7,RG Aga ,KENYA,3,10,8,5.0,0,4,3/24,15.5,0,1,0,-10.49,2013,-1.5499999999999994
8,JP Duminy ,SA,3,132,51*,66.0,0,3,3/18,6.0,0,1,0,60.0,2013,19.2
9,SW Masakadza ,ZIM,3,9,9,9.0,0,2,1/37,55.0,0,1,0,-45.99,2013,-13.0
10,AD Mathews ,SL,3,19,14,6.33,0,1,1/13,59.0,0,1,0,-52.66,2013,-15.401
11,SO Ngoche ,KENYA,3,2,2,2.0,0,5,4/34,17.4,0,0,0,-15.39,2013,-2.6199999999999997
12,Saeed Ajmal ,PAK,3,0,0,0.0,0,2,2/21,37.0,0,1,0,-36.99,2013,-10.299999999999999
13,SMSM Senanayake ,SL,3,1,1*,1.0,0,5,3/14,10.4,0,0,0,-9.39,2013,-0.8200000000000003
14,Sohail Tanvir ,PAK,3,0,0,0.0,0,2,2/20,35.5,0,1,0,-35.49,2013,-9.85
15,Abdur Razzak ,BAN,2,8,6*,8.0,0,2,2/18,26.5,0,0,0,-18.49,2013,-4.749999999999999
16,DI Allan ,KENYA,2,33,18,16.5,0,1,1/8,20.0,0,0,0,-3.49,2013,-0.6499999999999995
17,Mudassar Bukhari ,NED,2,7,4,3.5,0,3,2/24,17.33,0,1,0,-13.83,2013,-2.948999999999999
